word,x,y,cluster,frequency
last,23.058464,-5.4529266,-1,60
sensitive,22.133434,-3.8502197,-1,60
practice,24.826263,-2.8034835,-1,60
system,27.639988,-5.2931237,-1,60
thought,25.139977,-4.3837075,-1,60
face,23.067358,-2.1819897,-1,60
another,25.990095,-2.0108259,-1,60
trust,24.698542,-2.365524,0,60
changing,23.268291,-3.0781245,-1,60
role,23.958395,-3.1154869,-1,60
really,22.80049,-5.422778,-1,60
made,23.44223,-3.8034172,0,60
kind,27.815847,-3.315941,-1,60
figure,27.559683,-2.5586967,-1,60
anymore,26.169754,-2.4619827,0,60
light,25.869385,-2.85708,-1,60
happening,26.729776,-2.02091,-1,60
feeling,23.92838,-1.7456326,-1,60
deeply,26.582132,-1.9313518,-1,34
frequent,27.189165,-2.1324732,-1,30
temperature,27.403917,-2.6319048,-1,30
fossil,26.777058,-2.52269,-1,30
burning,27.471865,-2.8309002,-1,30
including,27.034676,-2.0879526,-1,30
severe,27.053572,-2.8105106,-1,30
flood,27.071293,-2.9366696,-1,30
hurricane,26.983232,-3.0719607,-1,30
drought,26.871725,-2.7532096,-1,30
weather,27.31316,-3.5052693,-1,30
led,26.528427,-2.830093,-1,30
emotion,25.004581,-2.5687623,-1,30
waste,26.439068,-1.87653,-1,30
fuel,26.9404,-3.3456979,-1,30
communication,23.271015,-5.4748516,-1,30
development,23.071733,-5.14458,-1,30
traditional,23.918568,-4.965812,1,30
emphasize,24.25979,-2.760376,-1,30
academic,24.835129,-5.9461355,-1,30
achievement,24.62933,-6.14207,-1,30
growing,22.96541,-2.5971053,-1,30
importance,23.459179,-2.8412483,-1,30
skill,22.282103,-3.6486566,-1,30
collaboration,22.312788,-4.977898,-1,30
personal,25.872423,-3.3307366,-1,30
critical,22.865305,-4.1672463,-1,30
thinking,22.781796,-3.8269846,0,30
online,25.850012,-5.120016,-1,30
increasingly,24.282557,-6.1256895,-1,30
offering,26.055143,-3.6738484,-1,30
flexibility,24.397552,-5.7937307,-1,30
access,25.634361,-4.660321,-1,30
resource,26.814764,-2.1563342,-1,30
societal,25.369196,-3.3556883,0,30
fundamental,24.375738,-2.203488,0,30
major,26.615696,-3.0088863,-1,30
pushing,23.328978,-3.1858842,-1,30
contributor,27.26817,-2.4702737,-1,30
greenhouse,26.996548,-2.4399335,-1,30
gas,26.752756,-3.022685,-1,30
emission,26.868982,-2.5221248,-1,30
accelerate,27.23578,-2.9838502,-1,30
warming,27.336334,-3.1705868,-1,30
response,27.620487,-3.238372,-1,30
organization,25.7228,-3.0310102,-1,30
renewable,23.13939,-3.1579788,-1,30
mitigating,25.197159,-5.2330256,-1,30
energy,26.209127,-4.0466585,-1,30
source,24.426872,-4.2732615,1,30
solar,21.749512,-3.309944,-1,30
wind,25.78455,-3.085216,0,30
power,25.77113,-3.9558623,-1,30
sustainable,25.657766,-3.0322459,0,30
agriculture,24.963081,-5.049287,-1,30
transportation,23.722279,-4.1557345,-1,30
rising,27.062082,-2.6602683,-1,30
reflect,22.961796,-2.9424458,-1,30
today,27.40851,-2.7449887,-1,30
analytics,23.835674,-3.6146235,-1,30
efficiency,26.3509,-2.1190953,-1,30
sector,26.038446,-4.5507536,-1,30
model,26.087097,-2.6059494,-1,30
deep,26.639282,-2.545032,0,30
particularly,25.52758,-3.573697,-1,30
impactful,25.712963,-4.516687,-1,30
enabling,26.210875,-3.2828994,0,30
advancement,25.749416,-5.584657,-1,30
image,26.612358,-2.4861343,-1,30
speech,26.597279,-3.209646,-1,30
predictive,24.7263,-4.315301,0,30
healthy,24.150587,-4.778536,1,30
create,26.135242,-4.5355477,-1,30
lifestyle,24.754095,-4.2546496,-1,30
being,24.864885,-4.1943407,-1,30
exercise,24.209858,-3.961499,1,30
crucial,26.386646,-3.894671,-1,30
cardiovascular,25.347942,-4.0091157,-1,30
reducing,24.613451,-3.7057564,-1,30
chronic,26.195011,-3.9820845,-1,30
disease,23.818172,-4.395001,-1,30
alongside,24.174591,-3.0408537,-1,30
activity,24.094206,-3.4713838,0,30
balanced,24.611383,-4.834344,-1,30
opportunity,26.372044,-2.491231,-1,30
argue,25.009354,-4.398744,-1,30
planet,27.16955,-2.3936434,-1,30
healthcare,27.674887,-4.9762726,0,30
hot,27.588127,-4.842493,-1,30
topic,27.251501,-5.188057,-1,30
application,27.631567,-5.1249027,-1,30
industry,27.315239,-5.590278,0,30
subset,27.504545,-5.2859874,-1,30
allows,26.90177,-5.17741,-1,30
computer,24.908987,-6.2480974,0,30
explicit,27.001059,-5.248614,-1,30
programming,26.806303,-5.5659122,0,30
autonomous,27.404417,-4.7691784,-1,30
vehicle,26.925804,-4.6969776,-1,30
diagnostics,27.426735,-4.7962523,-1,30
however,26.66706,-2.9891331,-1,30
natural,27.56297,-5.0376444,-1,30
language,27.514412,-4.047567,-1,30
processing,27.084545,-5.437807,-1,30
among,27.295313,-5.0242324,0,30
field,27.115992,-5.3930383,-1,30
rise,27.221958,-3.6791348,-1,30
brings,26.268831,-3.7071574,-1,30
concern,25.342875,-4.4773936,-1,30
job,26.553356,-2.9565122,-1,30
displacement,25.110048,-4.864375,-1,30
privacy,26.387083,-2.1733885,-1,30
diet,24.483566,-4.0649314,-1,30
rich,23.926743,-5.0763583,-1,30
nutrient,24.581898,-3.7897475,-1,30
stock,24.151735,-5.951401,-1,30
supply,25.016285,-2.7205958,-1,30
sentiment,25.738218,-4.2886024,-1,30
geopolitical,21.600002,-4.074088,-1,30
strategy,23.11826,-6.1413593,-1,30
vary,23.576128,-6.316185,-1,30
based,26.031637,-5.8693624,-1,30
tolerance,23.673779,-6.237469,-1,30
horizon,22.90319,-5.913288,-1,30
financial,23.703606,-6.0175853,-1,30
goal,23.921923,-6.1721697,-1,30
estate,23.689362,-6.3429165,-1,30
bond,23.297184,-5.809408,-1,30
play,23.994072,-3.9860501,0,30
choice,23.392006,-5.932297,-1,30
set,23.432106,-6.1432323,-1,30
reward,23.709175,-6.148817,-1,30
diversifying,23.443394,-5.753502,-1,30
portfolio,23.507956,-5.9497223,-1,30
overall,23.72486,-5.8432975,-1,30
potential,23.47132,-6.1841836,-1,30
return,23.810461,-6.065538,-1,30
pressing,26.920343,-3.6183753,0,30
issue,27.617725,-4.233802,1,30
facing,26.915539,-2.7403016,-1,30
interplay,23.67013,-5.2480493,0,30
worldwide,26.196705,-4.928679,-1,30
market,24.759964,-3.695158,-1,30
international,23.96176,-3.2464612,-1,30
vital,24.307474,-4.143435,1,30
equally,24.287611,-6.2001305,-1,30
important,24.90149,-4.865514,-1,30
overlooked,24.737349,-6.355351,-1,30
mindfulness,25.358322,-5.487252,-1,30
stress,23.204016,-1.6646421,-1,30
technique,25.457201,-6.0425816,-1,30
significantly,24.439236,-6.376204,-1,30
anxiety,24.115208,-6.3413105,-1,30
depression,23.7394,-5.2465224,0,30
recommend,24.932014,-3.9753778,-1,30
social,24.992485,-3.679053,-1,30
interaction,24.238693,-4.727967,0,30
adequate,24.615753,-5.74111,-1,30
sleep,24.025126,-5.2884116,-1,30
promote,23.885138,-5.301652,0,30
psychological,24.138123,-4.366581,-1,30
economy,23.064062,-2.9105122,-1,30
evolving,24.463608,-2.3835573,-1,30
factor,24.375889,-5.251343,-1,30
technological,21.968843,-4.395774,-1,30
innovation,21.709929,-4.4401813,-1,30
policy,23.888071,-3.9109995,0,30
student,26.163025,-5.839401,-1,30
intelligence,27.379965,-5.005363,0,30
especially,26.629248,-4.9493184,-1,30
guilt,22.818506,-4.033063,-1,30
carving,22.08666,-4.574192,0,30
first,23.24788,-3.3655663,0,30
ithow,22.810097,-2.6379793,-1,30
ever,25.692259,-1.8751245,-1,30
stood,22.528685,-3.248791,0,30
hurry,23.692724,-3.3637693,-1,30
worry,22.473171,-4.5204997,-1,30
obstacle,23.914856,-2.6150286,-1,30
bend,23.666716,-2.8441174,-1,30
curve,24.174204,-2.8725297,0,30
transform,26.160162,-1.6895897,-1,30
fear,23.975203,-3.5155795,0,30
personi,24.078522,-3.6884055,-1,30
hold,25.140526,-3.1059294,0,30
idea,25.59464,-2.479977,-1,30
supposed,27.823853,-2.9411514,-1,30
throw,23.935774,-2.953095,-1,30
resist,22.571068,-2.4671326,-1,30
point,22.32745,-4.928897,-1,30
perfect,26.932323,-4.205169,0,30
unlearn,21.820288,-4.042744,-1,30
forward,23.763828,-3.2297118,0,30
apologize,24.730433,-4.1998158,0,30
wait,24.925426,-5.1465344,-1,30
somewhere,23.42973,-2.303763,0,30
importantlywhen,25.19048,-1.8984964,0,30
